attack	12	0,378,756,125,125,1,378,630,125,125,2,378,504,125,125,3,378,378,125,125,4,378,252,125,125,5,378,126,125,125,6,378,0,125,125,7,252,882,125,125,8,252,756,125,125,9,252,630,125,125,10,252,504,125,125,11,252,378,125,125,12,252,252,125,125,13,252,126,125,125,14,252,0,125,125,15,126,882,125,125,16,126,756,125,125,17,126,630,125,125,18,126,504,125,125,19,126,378,125,125,20,126,252,125,125,21,126,126,125,125,22,126,0,125,125,23,0,882,125,125,24,0,756,125,125,25,0,630,125,125,26,0,504,125,125,27,0,378,125,125,28,0,252,125,125,29,0,126,125,125,30,0,0,125,125
breathing	8	0,630,504,125,125,1,630,378,125,125,2,630,252,125,125,3,630,126,125,125,4,630,0,125,125,5,504,882,125,125,6,504,756,125,125,7,504,630,125,125,8,504,504,125,125,9,504,378,125,125,10,504,252,125,125,11,504,126,125,125,12,504,0,125,125,13,378,882,125,125
cast	12	0,882,126,125,125,1,882,126,125,125,2,882,0,125,125,3,1638,756,125,125,4,756,756,125,125,5,756,630,125,125,6,756,504,125,125,7,756,378,125,125,8,756,252,125,125,9,756,126,125,125,10,756,0,125,125,11,630,882,125,125,12,630,756,125,125,13,630,630,125,125
castend	12	0,1638,378,125,125,1,1638,252,125,125,2,1638,126,125,125
castloop	12	0,1008,126,125,125,1,1008,0,125,125,2,882,882,125,125,3,882,756,125,125,4,882,630,125,125,5,882,504,125,125,6,882,378,125,125,7,882,252,125,125
caststart	12	0,1638,126,125,125,1,1638,0,125,125,2,1512,882,125,125
death	12	0,756,882,125,125,1,1638,630,125,125,2,1638,504,125,125,3,1134,504,125,125,4,1134,378,125,125,5,1134,252,125,125,6,1134,126,125,125,7,1134,0,125,125,8,1008,882,125,125,9,1008,756,125,125,10,1008,630,125,125,11,1008,504,125,125,12,1008,378,125,125,13,1008,252,125,125
hit	12	0,756,882,125,125,1,1638,630,125,125,2,1638,504,125,125
idle	12	0,1386,756,125,125,1,1386,630,125,125,2,1386,504,125,125,3,1386,378,125,125,4,1386,252,125,125,5,1386,126,125,125,6,1386,0,125,125,7,1260,882,125,125,8,1260,756,125,125,9,1260,630,125,125,10,1260,504,125,125,11,1260,378,125,125,12,1260,252,125,125,13,1260,126,125,125,14,1260,0,125,125,15,1134,882,125,125,16,1134,756,125,125,17,1134,630,125,125
run	12	0,1512,756,125,125,1,1512,630,125,125,2,1512,504,125,125,3,1512,378,125,125,4,1512,252,125,125,5,1512,126,125,125,6,1512,0,125,125,7,1386,882,125,125
