attack	12	0,243,486,80,80,1,243,405,80,80,2,243,324,80,80,3,486,567,80,80,4,243,162,80,80,5,243,81,80,80,6,243,0,80,80,7,162,891,80,80,8,162,810,80,80,9,162,729,80,80,10,162,648,80,80,11,162,567,80,80
breathing	7	0,324,567,80,80,1,324,486,80,80,2,324,405,80,80,3,324,324,80,80,4,324,567,80,80,5,324,243,80,80,6,324,162,80,80,7,324,81,80,80,8,324,0,80,80,9,243,891,80,80,10,243,810,80,80,11,243,729,80,80,12,243,648,80,80,13,243,567,80,80
cast	12	0,405,648,80,80,1,405,567,80,80,2,405,486,80,80,3,405,405,80,80,4,405,324,80,80,5,405,243,80,80,6,405,162,80,80,7,405,81,80,80,8,405,0,80,80,9,324,891,80,80,10,324,810,80,80,11,324,729,80,80,12,324,648,80,80
castend	12	0,486,405,80,80,1,486,486,80,80,2,243,243,80,80
castloop	12	0,486,324,80,80,1,486,243,80,80,2,486,162,80,80,3,486,81,80,80,4,486,0,80,80,5,405,891,80,80,6,405,810,80,80,7,405,729,80,80
caststart	12	0,243,243,80,80,1,486,486,80,80,2,486,405,80,80
death	12	0,162,486,80,80,1,162,405,80,80,2,162,324,80,80,3,162,243,80,80,4,162,162,80,80,5,162,81,80,80,6,162,0,80,80,7,81,891,80,80,8,81,810,80,80,9,81,729,80,80
hit	12	0,81,648,80,80,1,81,567,80,80,2,81,486,80,80
idle	12	0,324,567,80,80,1,0,729,80,80,2,0,648,80,80,3,0,567,80,80,4,0,486,80,80,5,0,405,80,80,6,0,324,80,80,7,0,243,80,80,8,0,162,80,80,9,0,81,80,80,10,0,0,80,80
run	14	0,81,405,80,80,1,81,324,80,80,2,81,243,80,80,3,81,162,80,80,4,81,81,80,80,5,81,0,80,80,6,0,891,80,80,7,0,810,80,80
