attack	12	0,131,1703,130,130,1,131,1572,130,130,2,131,1441,130,130,3,131,1310,130,130,4,131,1179,130,130,5,131,1048,130,130,6,131,917,130,130,7,131,786,130,130,8,131,655,130,130,9,131,524,130,130,10,131,393,130,130,11,131,262,130,130,12,131,131,130,130,13,131,0,130,130,14,0,1834,130,130,15,0,1703,130,130,16,0,1572,130,130,17,0,1441,130,130,18,0,1310,130,130,19,0,1179,130,130,20,0,1048,130,130,21,0,917,130,130,22,0,786,130,130,23,0,655,130,130,24,0,524,130,130,25,0,393,130,130,26,0,262,130,130,27,0,131,130,130,28,0,0,130,130
breathing	8	0,655,131,130,130,1,655,0,130,130,2,524,1834,130,130,3,524,1703,130,130,4,524,1572,130,130,5,524,1441,130,130,6,524,1310,130,130,7,524,1179,130,130,8,524,1048,130,130,9,524,917,130,130,10,524,786,130,130,11,524,655,130,130,12,524,524,130,130,13,524,393,130,130
cast	12	0,524,262,130,130,1,524,131,130,130,2,524,0,130,130,3,393,1834,130,130,4,393,1703,130,130,5,393,1572,130,130,6,393,1441,130,130,7,393,1310,130,130,8,917,393,130,130
castend	12	0,393,1048,130,130,1,393,917,130,130,2,393,786,130,130,3,393,655,130,130
castloop	12	0,393,524,130,130,1,393,393,130,130,2,393,262,130,130,3,393,131,130,130,4,393,0,130,130,5,262,1834,130,130
caststart	12	0,262,1703,130,130,1,262,1572,130,130,2,262,1441,130,130,3,262,1310,130,130
death	12	0,786,917,130,130,1,786,786,130,130,2,786,655,130,130,3,786,524,130,130,4,786,393,130,130,5,786,262,130,130,6,786,131,130,130,7,786,0,130,130,8,655,1834,130,130,9,655,1703,130,130,10,655,1572,130,130,11,655,1441,130,130,12,655,1310,130,130,13,655,1179,130,130,14,655,1048,130,130,15,655,917,130,130,16,655,786,130,130,17,655,655,130,130,18,655,524,130,130,19,655,393,130,130,20,655,262,130,130
hit	12	0,393,1179,130,130,1,917,262,130,130,2,917,131,130,130
idle	12	0,262,1179,130,130,1,262,1048,130,130,2,262,917,130,130,3,262,786,130,130,4,262,655,130,130,5,262,524,130,130,6,262,393,130,130,7,262,262,130,130,8,262,131,130,130,9,262,0,130,130,10,131,1834,130,130
run	12	0,917,0,130,130,1,786,1834,130,130,2,786,1703,130,130,3,786,1572,130,130,4,786,1441,130,130,5,786,1310,130,130,6,786,1179,130,130,7,786,1048,130,130
